Traditional,Simplified,Eng.Tran.,Length,Pinyin,Pinyin.Input,WCount,W.million,log10W,W-CD,W-CD%,log10CD,Dominant.PoS,Dominant.PoS.Freq,All.PoS,All.PoS.Freq
一個,一个,a/an,2,yi1 ge4,yige,116726,3479.53,5.0672,6228,99.76,3.7943,mq,116726,.mq.,.116726.
現在,现在,now/at present/modern/current/nowadays,2,xian4 zai4,xianzai,88120,2626.8,4.9451,6227,99.74,3.7943,t,88120,.t.,.88120.
做,做,to do/to make/to produce/to write/to compose/to act as/to engage in/to hold (a party)/to be/to become/to function (in some capacity)/to serve as/to be used for/to form (a bond or relationship)/to pretend/to feign/to act a part/to put on appearance,1,zuo4,zuo,122364,3647.59,5.0877,6226,99.73,3.7942,v,122364,.v.,.122364.
真,真,really/truly/indeed/real/true/genuine,1,zhen1,zhen,102445,3053.82,5.0105,6224,99.7,3.7941,d,55127,.d.a.g.,.55127.47312.6.
什麼,什么,what/what?/who?/something/anything,2,shen2 me5,shenme,236517,7050.42,5.3739,6224,99.7,3.7941,r,236517,.r.,.236517.
隻,只,"classifier for birds and certain animals, one of a pair, some utensils, vessels etc; but/only; only/merely/just/but",1,zhi1/zhi3,zhi,72698,2167.08,4.8615,6223,99.68,3.794,d,64447,.d.q.,.64447.8251.
著,着,"catch/receive/suffer; to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn; particle attached after verb to indicate action in progress, like -ing ending; to wear (clothes)/to contact/to use/to apply",1,zhao1/zhao2/zhe5/zhuo2,zhuo,100091,2983.65,5.0004,6222,99.66,3.7939,u,99446,.u.v.n.q.,.99446.613.22.10.
沒有,没有,haven't/hasn't/doesn't exist/to not have/to not be,2,mei2 you3,mei2you3/you4,108237,3226.48,5.0344,6218,99.6,3.7937,v,74595,.v.d.,.74595.33642.
和,和,and/together with/with/sum/union/peace/harmony/surname He; cap (a poem)/to respond in singing; to complete a set in mahjong or playing cards; soft/warm; to mix together/to blend,1,he2/he4/hu2/huo2/huo4,he,150418,4483.86,5.1773,6214,99.54,3.7934,cc,139934,.cc.p.v.qv.g.n.,.139934.10469.7.4.2.2.
得,得,"to obtain/to get/to gain/to catch (a disease)/proper/suitable/proud/contented/to allow/to permit/ready/finished; structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; to have to/must/ought to/to need to",1,de2/de5/dei3,de,105189,3135.62,5.022,6215,99.55,3.7934,u,65464,.u.v.,.65464.39725.
怎麼,怎么,how?/what?/why?,2,zen3 me5,zenme,89166,2657.98,4.9502,6210,99.47,3.7931,r,89166,.r.,.89166.
可以,可以,can/may/possible/able to,2,ke3 yi3,keyi,79198,2360.84,4.8987,6206,99.41,3.7928,v,79198,.v.,.79198.
事,事,matter/thing/item/work/affair,1,shi4,shi,97715,2912.82,4.99,6198,99.28,3.7923,n,97710,.n.g.,.97710.5.
他們,他们,they,2,ta1 men5,tamen,140460,4187.02,5.1476,6199,99.3,3.7923,r,140460,.r.,.140460.
再,再,"again/once more/re-/second/another/then (after sth, and not until then)",1,zai4,zai,56520,1684.82,4.7522,6197,99.26,3.7922,d,56519,.d.g.,.56519.1.
呢,呢,(question particle for subjects already mentioned); woolen material,1,na4/ne4/ne5/ni2,ne,76752,2287.93,4.8851,6196,99.25,3.7921,y,76752,.y.,.76752.
點,点,point/dot/speck/drop/decimal point/point of a scale/point in a theory or argument/downwards-right convex character stroke/a little (usually 一点)/a jot/beat (of percussion instrument)/to draw a dot/to touch slightly/to drip/classifier for items/classifier for small indeterminate quantities/to nod/to select item from a list/to order (food in a restaurant)/to count/o'clock/one fifth of a two hour watch (old)/hour/point of time/iron bell (used to mark time)/pastry/dimsum 炥心|点心,1,dian3,dian,77665,2315.14,4.8902,6194,99.22,3.792,qt,43487,.qt.n.t.v.,.43487.21747.6426.6005.
這樣,这样,"this (kind of, sort of)/this way/such/like this/such",2,zhe4 yang4,zheyang,64295,1916.59,4.8082,6194,99.22,3.792,r,64295,.r.,.64295.
多,多,many/much/a lot of/numerous/multi-,1,duo1,duo,52605,1568.12,4.721,6189,99.14,3.7916,a,26937,.a.m.ad.d.v.g.,.26937.19498.3976.2094.80.20.
太,太,highest/greatest/too (much)/very/extremely,1,tai4,tai,65151,1942.11,4.8139,6180,98.99,3.791,d,64580,.d.b.,.64580.571.
裡,里,Chinese mile (approx. 0.5 km)/neighborhood/hometown/surname Li; inside/internal/interior/lining/village/basic unit of city administration; inside/internal/interior/lining/village/basic unit of city administration,1,li3,li,63276,1886.22,4.8012,6179,98.97,3.7909,f,62728,.f.q.,.62728.548.
用,用,to use,1,yong4,yong,52436,1563.08,4.7196,6173,98.88,3.7905,v,26638,.v.p.g.,.26638.25784.14.
下,下,down/downwards/below/lower/later/next (week etc)/second (of two parts)/to decline/to go down,1,xia4,xia,51975,1549.34,4.7158,6171,98.85,3.7904,v,26287,.v.f.qt.g.,.26287.25624.62.2.
你們,你们,you (plural),2,ni3 men5,nimen,112946,3366.85,5.0529,6171,98.85,3.7904,r,112946,.r.,.112946.
如果,如果,if/in case/in the event that,2,ru2 guo3,ruguo,76417,2277.94,4.8832,6157,98.62,3.7894,c,76396,.c.v.,.76396.21.
走,走,"to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走)/to change (shape, form, meaning)",1,zou3,zou,65258,1945.3,4.8146,6158,98.64,3.7894,v,65258,.v.,.65258.
自己,自己,self/(reflexive pronoun)/own,2,zi4 ji3,ziji,57978,1728.29,4.7633,6155,98.59,3.7892,r,57962,.r.v.,.57962.16.
誰,谁,"who/also pronounced shui2; variant pronunciation of shei2, who/surname Shui",1,shei2/shui2,shui,52782,1573.4,4.7225,6152,98.54,3.789,r,52782,.r.,.52782.
被,被,by (indicates passive-voice sentences or clauses)/to cover/to wear,1,bei4,bei,65695,1958.33,4.8175,6150,98.51,3.7889,p,65537,.p.g.d.,.65537.112.46.
因為,因为,because/owing to/on account of,2,yin1 wei4,yinwei,59823,1783.29,4.7769,6148,98.48,3.7887,p,49246,.p.c.,.49246.10577.
聽,听,to listen/to hear/to obey/a can (loan from English tin)/classifier for canned beverages; to let/to allow,1,ting1,ting,54888,1636.18,4.7395,6145,98.43,3.7885,v,54888,.v.,.54888.
別,别,"leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin; see 别扭, contrary/difficult/awkward",1,bie2/bie4,bie,69865,2082.63,4.8443,6143,98.4,3.7884,d,68133,.d.v.r.vn.,.68133.1142.576.14.
告訴,告诉,to tell/to inform/to let know,2,gao4 su5,gaosu,61222,1824.99,4.7869,6141,98.37,3.7882,v,61222,.v.,.61222.
她,她,she,1,ta1,ta,221420,6600.39,5.3452,6134,98.25,3.7877,r,221420,.r.,.221420.
時候,时候,time/length of time/moment/period,2,shi2 hou5,shihou,52176,1555.33,4.7175,6130,98.19,3.7875,n,52176,.n.,.52176.
從,从,"lax/yielding/unhurried; from/via/passing through/through (a gap)/past/ever (followed by negative, meaning never)/(formerly pr. zong4 and related to ~1|纵) to follow/to comply with/to obey/to join/to engage in/adopting some mode of action or attitude/follower/retainer/accessory/accomplice/related by common paternal grandfather or earlier ancestor/surname Cong; second cousin",1,cong1/cong2,cong,47313,1410.37,4.675,6129,98.17,3.7874,p,47212,.p.g.,.47212.101.
最,最,most/the most/-est,1,zui4,zui,46464,1385.06,4.6671,6129,98.17,3.7874,d,46454,.d.g.,.46454.10.
啊,啊,"interjection of surprise/Ah!/Oh!; interjection expressing doubt or requiring answer/Eh?/what?/to show realization/to stress; interjection of surprise or doubt/Eh?/My!/what's up?; interjection or grunt of agreement/uhm/Ah, OK/expression of recognition/Oh, it's you!; modal particle ending sentence, showing affirmation, approval, or consent",1,a1/a2/a3/a4/a5,a,130963,3903.92,5.1171,6126,98.13,3.7872,y,128570,.y.e.,.128570.2393.
已經,已经,already,2,yi3 jing1,yijing,51772,1543.29,4.7141,6123,98.08,3.787,d,51772,.d.,.51772.
出,出,"to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/classifier for dramas, plays, operas etc",1,chu1,chu,42784,1275.36,4.6313,6120,98.03,3.7868,v,42781,.v.q.,.42781.3.
天,天,day/sky/heaven,1,tian1,tian,50660,1510.14,4.7047,6117,97.98,3.7865,qt,39303,.qt.n.,.39303.11357.
大,大,big/huge/large/major/great/wide/deep/oldest/eldest; doctor,1,da4/dai4,da,45061,1343.24,4.6538,6109,97.85,3.786,a,42333,.a.d.n.g.,.42333.2723.3.2.
嗎,吗,morphine; (question tag),1,ma2/ma3/ma5,ma,249187,7428.1,5.3965,6107,97.82,3.7858,y,249187,.y.,.249187.
次,次,"next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chem., meaning extra oxygen atom)/classifier for enumerated events: time",1,ci4,ci,43873,1307.83,4.6422,6105,97.79,3.7857,qv,43823,.qv.a.g.,.43823.27.23.
這麼,这么,so much/this much/how much?/this way/like this,2,zhe4 me5,zheme,49082,1463.1,4.6909,6104,97.77,3.7856,r,49082,.r.,.49082.
為,为,as (in the capacity of)/to take sth as/to act as/to serve as/to behave as/to become/to be/to do; because of/for/to,1,wei2/wei4,wei,45565,1358.26,4.6586,6091,97.57,3.7847,p,27023,.p.v.,.27023.18542.
還有,还有,furthermore/in addition/still/also,2,hai2 you3,huanyou,35932,1071.11,4.5555,6078,97.36,3.7838,v,35932,.v.,.35932.
才,才,ability/talent/endowment/gift/an expert/only (then)/only if/just; just/not until,1,cai2,cai,36716,1094.48,4.5649,6073,97.28,3.7834,d,32881,.d.c.n.,.32881.3805.30.
為什麼,为什么,why?/for what reason?,3,wei4 shen2 me5,weishime,51063,1522.16,4.7081,6072,97.26,3.7833,r,51063,.r.,.51063.
像,像,(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem,1,xiang4,xiang,50229,1497.29,4.701,6057,97.02,3.7823,v,38786,.v.p.n.d.,.38786.10936.339.168.
話,话,dialect/language/spoken words/speech/talk/words/conversation/what sb said,1,hua4,hua,39900,1189.39,4.601,6048,96.88,3.7816,n,39887,.n.v.,.39887.13.
那個,那个,that one; that one,2,nei4 ge4,nage,41417,1234.61,4.6172,6022,96.46,3.7797,r,41417,.r.,.41417.
謝謝,谢谢,to thank/thanks,2,xie4 xie5,xiexie,51457,1533.9,4.7114,6006,96.2,3.7786,v,51457,.v.,.51457.
找,找,to try to find/to look for/to call on sb/to find/to seek/to return/to look for/to give change,1,zhao3,zhao,46647,1390.52,4.6688,6006,96.2,3.7786,v,46647,.v.,.46647.
可能,可能,might (happen)/possible/probable/possibility/probability,2,ke3 neng2,keneng,44424,1324.25,4.6476,6005,96.19,3.7785,v,37876,.v.n.,.37876.6548.
又,又,(once) again/also/both... and.../again,1,you4,you,35561,1060.05,4.551,6000,96.11,3.7782,d,34210,.d.c.,.34210.1351.
需要,需要,to need/to want/to demand/needs/to require,2,xu1 yao4,xuyao,44362,1322.4,4.647,5982,95.82,3.7768,v,42486,.v.n.vn.,.42486.1856.20.
起來,起来,beginning or continuing an action/upward movement/stand up,2,qi3 lai5,qilai,37205,1109.06,4.5706,5973,95.68,3.7762,v,37205,.v.,.37205.
應該,应该,ought to/should/must,2,ying1 gai1,yinggai,37811,1127.12,4.5776,5960,95.47,3.7752,v,37811,.v.,.37811.
東西,东西,east and west; thing/stuff/person,2,dong1 xi5,dongxi,38127,1136.54,4.5812,5958,95.43,3.7751,n,37700,.n.f.nr.,.37700.415.12.
覺得,觉得,to think/to feel,2,jue2 de5,juede,51047,1521.68,4.708,5956,95.4,3.775,v,51047,.v.,.51047.
這些,这些,these,2,zhe4 xie1,zhexie,36735,1095.05,4.5651,5954,95.37,3.7748,r,36735,.r.,.36735.
兩,两,both/two/ounce/some/a few/tael,1,liang3,liang,36580,1090.43,4.5632,5953,95.35,3.7747,m,36569,.m.t.,.36569.11.
錯,错,mistake/error/blunder/fault/cross/uneven/wrong,1,cuo4,cuo,36166,1078.09,4.5583,5950,95.31,3.7745,v,31349,.v.n.,.31349.4817.
干,干,dry/clean/surname Gan; to concern/to interfere/shield/stem; to work/to do/to manage; tree trunk/main part of sth/to manage/to work/to do/capable/cadre (in communist party)/to kill (slang)/to fuck (taboo word),1,gan1/gan4,gan,41651,1241.59,4.6196,5949,95.29,3.7744,v,41569,.v.a.,.41569.82.
回,回,to circle/to go back/to turn around/to answer/to return/to revolve/Hui religious minority (Chinese Muslims)/time/classifier for acts of a play/section or chapter (of a classic book),1,hui2,hui,30259,902,4.4809,5948,95.27,3.7744,v,23670,.v.qv.,.23670.6589.
更,更,to change; more/even more/further/still/still more,1,geng1/geng4,geng,32253,961.44,4.5086,5936,95.08,3.7735,d,32253,.d.,.32253.
開始,开始,to begin/beginning/to start/initial,2,kai1 shi3,kaishi,32126,957.66,4.5069,5934,95.05,3.7733,v,32077,.v.vn.,.32077.49.
等,等,class/rank/grade/equal to/same as/to wait for/to await/et cetera/and so on/et al. (and other authors)/after/as soon as/once,1,deng3,deng,34016,1014,4.5317,5928,94.95,3.7729,v,26297,.v.u.,.26297.7719.
快,快,"rapid/quick/speed/rate/soon/shortly/quick-witted/clever/sharp (of knives or wits)/forthright/plain-spoken/gratified/pleased/pleasant/police runner (in former times, official to arrest criminals)",1,kuai4,kuai,53510,1595.1,4.7284,5924,94.89,3.7726,a,34590,.a.d.g.,.34590.18910.10.
可,可,can/may/able to/to approve/to permit/certain(ly)/to suit/(particle used for emphasis),1,ke3/ke4,ke,46123,1374.9,4.6639,5922,94.86,3.7725,v,39232,.v.c.d.,.39232.4728.2163.
那麼,那么,like that/in that way/or so/so/so very much/about/in that case,2,na4 me5,name,41794,1245.85,4.6211,5917,94.78,3.7721,r,26452,.r.c.,.26452.15342.
所以,所以,therefore/as a result/so,2,suo3 yi3,suoyi,37014,1103.36,4.5684,5910,94.67,3.7716,c,37014,.c.,.37014.
一樣,一样,same/like/equal to/the same as/just like,2,yi1 yang4,yiyang,28861,860.33,4.4603,5906,94.6,3.7713,u,20799,.u.a.ad.,.20799.7975.87.
時間,时间,time/period,2,shi2 jian1,shijian,30703,915.24,4.4872,5902,94.54,3.771,n,30703,.n.,.30703.
而,而,and/as well as/and so/but (not)/yet (not)/(indicates causal relation)/(indicates change of state)/(indicates contrast),1,er2,er,39381,1173.92,4.5953,5899,94.49,3.7708,cc,39380,.cc.u.,.39380.1.
這裡,这里,here,2,zhe4 li3,zheli,53900,1606.72,4.7316,5879,94.17,3.7693,r,53900,.r.,.53900.
就是,就是,(emphasizes that sth is precisely or exactly as stated)/precisely/exactly/even/if/just like/in the same way as,2,jiu4 shi4,jiushi,28137,838.75,4.4493,5877,94.14,3.7692,v,24136,.v.d.,.24136.4001.
該,该,that/the above-mentioned/most likely/to deserve/should/ought to/owe,1,gai1,gai,34169,1018.56,4.5336,5878,94.15,3.7692,v,24842,.v.r.,.24842.9327.
一起,一起,together,2,yi1 qi3,yiqi,32889,980.4,4.5171,5873,94.07,3.7689,s,23366,.s.d.nr.,.23366.9522.1.
拿,拿,to hold/to seize/to catch/to apprehend/to take,1,na2,na,32361,964.66,4.51,5858,93.83,3.7677,v,32361,.v.,.32361.
喜歡,喜欢,to like/to be fond of,2,xi3 huan5,xihuan,46146,1375.58,4.6641,5856,93.8,3.7676,v,46144,.v.vn.,.46144.2.
見,见,to see/to meet/to appear (to be sth)/to interview; appear,1,jian4/xian4,jian,29340,874.61,4.4675,5856,93.8,3.7676,v,29328,.v.g.,.29328.12.
叫,叫,to call/to yell/to order/to ask/to be called,1,jiao4,jiao,34648,1032.83,4.5397,5853,93.75,3.7674,v,33278,.v.p.n.,.33278.1369.1.
帶,带,band/belt/girdle/ribbon/tire/area/zone/region/to wear/to carry/to lead/to bring/to look after/to raise,1,dai4,dai,31069,926.15,4.4923,5852,93.74,3.7673,v,31069,.v.,.31069.
問題,问题,question/problem/issue/topic,2,wen4 ti2,wenti,33364,994.56,4.5233,5848,93.67,3.767,n,33364,.n.,.33364.
小,小,small/tiny/few/young,1,xiao3,xiao,34967,1042.34,4.5437,5838,93.51,3.7663,a,34790,.a.ad.,.34790.177.
中,中,within/among/in/middle/center/while (doing sth)/during/China/Chinese; hit (the mark),1,zhong1/zhong4,zhong,34862,1039.21,4.5424,5837,93.5,3.7662,f,32087,.f.b.v.,.32087.2713.62.
但,但,but/yet/however/only/merely/still,1,dan4,dan,68241,2034.22,4.834,5812,93.1,3.7643,c,68236,.c.d.,.68236.5.
跟,跟,heel/to follow closely/to go with/to marry sb (of woman)/with/towards/as (compared to)/from (different from)/and (in addition to),1,gen1,gen,62979,1877.36,4.7992,5801,92.92,3.7635,p,51138,.p.v.,.51138.11841.
當,当,to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at; at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent,1,dang1/dang4,dang,29619,882.92,4.4716,5787,92.7,3.7625,p,24032,.p.v.,.24032.5587.
它,它,it (used for things),1,ta1,ta,49024,1461.37,4.6904,5777,92.54,3.7617,r,49024,.r.,.49024.
然后,然后,after/then (afterwards)/after that/afterwards,2,ran2 hou4,ranhou,29752,886.89,4.4735,5749,92.09,3.7596,c,29752,.c.,.29752.
死,死,to die/impassable/uncrossable/inflexible/rigid/extremely,1,si3,si,44056,1313.28,4.644,5748,92.07,3.7595,v,40486,.v.a.vn.d.,.40486.3257.308.5.
希望,希望,to wish for/to desire/to hope,2,xi1 wang4,xiwang,26658,794.66,4.4258,5741,91.96,3.759,v,24781,.v.n.vn.,.24781.1784.93.
當然,当然,only natural/as it should be/certainly/of course/without doubt,2,dang1 ran2,dangran,26313,784.37,4.4202,5734,91.85,3.7585,d,26260,.d.b.,.26260.53.
一直,一直,straight (in a straight line)/continuously/always/from the beginning of ... up to .../all along/always,2,yi1 zhi2,yizhi,24551,731.85,4.3901,5731,91.8,3.7582,d,24551,.d.,.24551.
幫,帮,"to help/to assist/to support/for sb (i.e. as a help)/hired (as worker)/side (of pail, boat etc)/outer layer/group/gang/clique/party/secret society",1,bang1,bang,31793,947.73,4.5023,5730,91.78,3.7582,v,30383,.v.q.,.30383.1410.
前,前,before/in front/ago/former/previous/earlier/front,1,qian2,qian,25613,763.51,4.4085,5722,91.65,3.7575,f,25612,.f.v.,.25612.1.
一下,一下,(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once,2,yi1 xia4,yixia,27171,809.95,4.4341,5714,91.53,3.7569,mq,27049,.mq.d.,.27049.122.
開,开,to open/to start/to turn on/to write out (a medical prescription)/to operate (vehicle)/abbr. for 开尔文 degrees Kelvin,1,kai1,kai,27382,816.24,4.4375,5709,91.45,3.7566,v,27360,.v.q.,.27360.22.
看看,看看,to take a look at/to examine/to survey/(coll.) pretty soon,2,kan4 kan5,kankan,24319,724.93,4.3859,5695,91.22,3.7555,v,24319,.v.,.24319.
所有,所有,all/to have/to possess/to own,2,suo3 you3,suoyou,27749,827.18,4.4432,5681,91,3.7544,b,27569,.b.v.,.27569.180.
相信,相信,be convinced (that something is true)/believe/to accept sth as true,2,xiang1 xin4,xiangxin,25699,766.07,4.4099,5665,90.74,3.7532,v,25699,.v.,.25699.
看到,看到,see (that)/note,2,kan4 dao4,kandao,26783,798.38,4.4279,5628,90.15,3.7504,v,26783,.v.,.26783.
打,打,dozen; to beat/to strike/to hit/to break/to type/to mix up/to build/to fight/to fetch/to make/to tie up/to issue/to shoot/to calculate/since/from,1,da2/da3,da,31223,930.74,4.4945,5626,90.12,3.7502,v,31223,.v.,.31223.
但是,但是,but/however,2,dan4 shi4,danshi,52718,1571.49,4.722,5615,89.94,3.7493,c,52718,.c.,.52718.
家,家,"furniture/tool; home/family/classifier for families or businesses/refers to the philosophical schools of pre-Han China/noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian/surname Jia",1,jia1/jia5/jie5,jia,27026,805.63,4.4318,5613,89.91,3.7492,n,17759,.n.q.,.17759.9267.
